Sample,X,Y,Z,Protolith,Weathering,SiO2,Al2O3,Fe2O3,MgO,CaO,TiO2,P2O5,BaO,C
MB31 95.69 a 111.45,1711.55,2042.13,1027.11,BEB/CC,MB,20.23,1.97,22.78,11.06,11.03,4.31,8.08,5.91,0.14
MS163 6.20 a 16.20,1725,1644.2,1010,BEB/CC,MB,26.4,2.34,29.2,12.11,7.92,7.96,5.44,0.28,0.12
SR09-078  13.30 a 29.70,1850.01,1750.09,1021.41,BEB/CC,MB,25.12,2.98,21.61,6.76,15.76,5.54,11.95,0.3,0.29
SR10-089 57.10 a 82.40,1945.97,1288.99,1005.12,BEB/CC,MB,26.07,3.82,20.76,7.71,12.82,7.52,9.39,0.61,0.19
SR10-089 82.40 a 95.50,1945.97,1288.99,985.92,BEB/CC,MB,17.65,2.82,23.28,7.01,18.36,4.89,13.68,1.68,0.25
CMA-BAR-DH-0149  9 a 20.85,1027.7087,887.3406,995.44,BEB/CC,RA,19.91,2.5,22.55,7.06,16.61,3.22,9.5,2.6,1.51
CMA-BAR-DH-0158  0 a 6.4,1267.2268,909.4657,1011.38,BEB/CC,RA,18.77,1.96,16.46,9.8,23.7,2.95,8.02,0.24,3.17
CMA-BAR-DH-0158  6.4 a 12.8,1267.2268,909.4657,1004.98,BEB/CC,RA,17.12,2.14,15.34,14.95,20.6,3.69,4.33,0.13,3.94
CMA-BAR-DH-0158-12.8 a 20.85,1267.2268,909.4657,997.76,BEB/CC,RA,16.95,2.17,15.6,12.54,21.64,3.54,5.13,0.49,3.94
RE07 15.76 a 25.76,2000,500,1045,ANF BEB/CC,MT,17.73,1.9,15.38,3.95,26.24,5.24,18.76,0.29,0.36
RF08 4.53 a 19.53,2100,600,1062.5,ANF BEB/CC,MT,24.65,3.36,16.14,4.34,19.02,7.72,13.72,0.24,0.14
SR09-035 8.50 a 21.05,1950,450,1046.23,ANF BEB/CC,MT,28.21,3.17,15.21,6.75,18.16,6.22,12.2,0.14,0.21
SR10-034 14.00 a 30.00,1950,550,1035.29,ANF BEB/CC,MT,23.99,3.38,16.44,7.17,18.18,4.71,12.91,0.23,0.44
SR10-089 24.55 a 46.30,1945.97,1288.99,1039.44,ANF BEB/CC,MT,31.26,3.93,21.69,4.27,10.27,11.66,7.25,0.53,0.14
RD04 33.25 a 53.23,1900,200,1009.99,ANF BEB/CC,MB,57.27,4.1,11.14,4.2,7.26,2.3,5.14,0.27,0.22
RD07 39.33 a 43.33,1900,500,1013,ANF BEB/CC,MB,30.37,3.92,22.01,8.92,8.52,6.23,6.21,0.32,0.27
RD07 49.33 a 64.33,1900,500,997.5,ANF BEB/CC,MB,32.45,4.37,19.85,13.1,7.1,5.59,4.85,0.22,0.18
RE08 6.68 a 21.68,2000,600,1047.5,ANF BEB/CC,MB,18.88,3.62,17.96,5.3,21.01,4.57,16.07,0.26,0.34
RF08 19.53 a 29.53,2100,600,1050,ANF BEB/CC,RA,33.95,4.57,13.58,10.2,13.73,4.07,8.17,0.18,0.19
RF09 11.53 a 41.53,2097.8,689.3,1045,ANF BEB/CC,MB,35.72,2.95,14.53,8.6,12.96,6.16,7.73,0.24,0.19
SR09-026 34.00 a 46.10,2040.82,356.47,1024.43,ANF BEB/CC,MB,53.91,2.31,8.46,9.47,10.89,1.23,6.94,0.15,0.28
SR09-031 33.00 a 48.20,1749.99,149.99,1004.17,ANF BEB/CC,MB,32.04,6.13,23.22,4.92,9.05,6.24,6.41,0.5,0.12
SR09-035 21.05 a 41.20,1950,450,1029.88,ANF BEB/CC,RA,35.76,1.11,11.28,8.66,22.15,5.27,11.05,0.09,0.2
SR09-038 13.70 a 37.70,1849.92,249.94,1017.78,ANF BEB/CC,MB,31.56,3.35,15.53,7.83,15.7,5.91,10.83,0.29,0.34
SR09-039 47.15 a 58.75,1849.96,349.98,992.56,ANF BEB/CC,MB,51.15,2.3,16.12,7.16,7.92,6.34,5.47,0.2,0.18
SR10-034 30.00 a 43.35,1950,550,1018.37,ANF BEB/CC,RA,31.12,3.13,15.61,10.69,16.19,3.91,9.32,0.17,0.16
SR10-040 26.00 a 48.70,1849.94,449.97,1013.82,ANF BEB/CC,MB,41.96,3.48,16.53,7.82,9.1,5.1,6.74,0.23,0.18
RD07 29.33 a 39.33,1900,500,1020,ANF BEB/CC,MB,25.43,2.66,16.97,5.55,17.28,4.63,12.75,0.29,0.46
RE07 25.76 a 40.76,2000,500,1032.5,ANF BEB/CC,MB,23.1,1.37,12.66,6.07,24.59,3.05,16.68,0.24,0.49
